wkb_geometry;nome;tratta
"POINT (663944.656748453 5104298.91723247)";FS - Trento;FFSS
"POINT (663996.885166821 5104499.33033276)";FTM - Trento;FTM
"POINT (663351.868307444 5106233.31094419)";FTM - Commerciale;FTM
"POINT (662641.797016797 5108211.00619748)";FTM - Gardolo;FTM
"POINT (662633.718297392 5109386.00916836)";FTM - Spini;FTM
"POINT (662823.696799724 5110201.91385938)";FTM - Lamar;FTM
"POINT (665188.62801512 5102306.9665189)";VALS - S. Chiara;VALSUGANA
"POINT (665186.615403031 5101536.95514582)";VALS - S. Bartolomeo;VALSUGANA
"POINT (665501.018153357 5101292.23278642)";VALS - Villazzano;VALSUGANA
"POINT (665714.660803049 5103486.89532164)";VALS - Povo Mesiano;VALSUGANA
